time;tre200dx;tre200dn;tre200d0;hns000d0;rka150d0;hto000d0
19700806;-;-;-;-;-;-
19700807;-;-;-;-;-;-
19700808;-;-;-;-;-;-
19700809;-;-;-;-;-;-
19700810;-;-;-;-;-;-
19700811;-;-;-;-;-;-
19700812;-;-;-;-;-;-
19700813;-;-;-;-;-;-
19700814;-;-;-;-;-;-
19700815;-;-;-;-;-;-
19700816;-;-;-;-;-;-
19700817;-;-;-;-;-;-
19700818;-;-;-;-;-;-
19700819;-;-;-;-;-;-
19700820;-;-;-;-;-;-
19700821;-;-;-;-;-;-
19700822;-;-;-;-;-;-
19700823;-;-;-;-;-;-
19700824;-;-;-;-;-;-
19700825;-;-;-;-;-;-
19700826;-;-;-;-;-;-
19700827;-;-;-;-;-;-
19700828;-;-;-;-;-;-
19700829;-;-;-;-;-;-
19700830;-;-;-;-;-;-
19700831;-;-;-;-;-;-
19700901;-;-;-;-;-;-
19700902;-;-;-;-;-;-
19700903;-;-;-;-;-;-
19700904;-;-;-;-;-;-
19700905;-;-;-;-;-;-
19700906;-;-;-;-;-;-
19700907;-;-;-;-;-;-
19700908;-;-;-;-;-;-
19700909;-;-;-;-;-;-
19700910;-;-;-;-;-;-
19700911;-;-;-;-;-;-
19700912;-;-;-;-;-;-
19700913;-;-;-;-;-;-
19700914;-;-;-;-;-;-
19700915;-;-;-;-;-;-
19700916;-;-;-;-;-;-
19700917;-;-;-;-;-;-
19700918;-;-;-;-;-;-
19700919;-;-;-;-;-;-
19700920;-;-;-;-;-;-
19700921;-;-;-;-;-;-
19700922;-;-;-;-;-;-
19700923;-;-;-;-;-;-
19700924;-;-;-;-;-;-
19700925;-;-;-;-;-;-
19700926;-;-;-;-;-;-
19700927;-;-;-;-;-;-
19700928;-;-;-;-;-;-
19700929;-;-;-;-;-;-
19700930;-;-;-;-;-;-
19701001;-;-;-;-;-;-
19701002;-;-;-;-;-;-
19701003;-;-;-;-;-;-
19701004;-;-;-;-;-;-
19701005;-;-;-;-;-;-
19701006;-;-;-;-;-;-
19701007;-;-;-;-;-;-
19701008;-;-;-;-;-;-
19701009;-;-;-;-;-;-
19701010;-;-;-;-;-;-
19701011;-;-;-;-;-;-
19701012;-;-;-;-;-;-
19701013;-;-;-;-;-;-
19701014;-;-;-;-;-;-
19701015;-;-;-;-;-;-
19701016;-;-;-;-;-;-
19701017;-;-;-;-;-;-
19701018;-;-;-;-;-;-
19701019;-;-;-;-;-;-
19701020;-;-;-;-;-;-
19701021;-;-;-;-;-;-
19701022;-;-;-;-;-;-
19701023;-;-;-;-;-;-
19701024;-;-;-;-;-;-
19701025;-;-;-;-;-;-
19701026;-;-;-;-;-;-
19701027;-;-;-;-;-;-
19701028;-;-;-;-;-;-
19701029;-;-;-;-;-;-
19701030;-;-;-;-;-;-
19701031;-;-;-;-;-;-
19701101;-;-;-;-;-;-
19701102;-;-;-;-;-;0
19701103;-;-;-;-;-;0
19701104;-;-;-;-;-;0
19701105;-;-;-;-;-;0
19701106;-;-;-;-;-;-
19701107;-;-;-;-;-;0
19701108;-;-;-;-;-;-
19701109;-;-;-;-;-;-
19701110;-;-;-;-;-;-
19701111;-;-;-;-;-;-
19701112;-;-;-;-;-;0
19701113;-;-;-;-;-;-
19701114;-;-;-;-;-;-
19701115;-;-;-;-;-;-
19701116;-;-;-;-;-;2
19701117;-;-;-;-;-;-
19701118;-;-;-;-;-;-
19701119;-;-;-;-;-;0
19701120;-;-;-;-;-;-
19701121;-;-;-;-;-;-
19701122;-;-;-;-;-;5
19701123;-;-;-;-;-;-
19701124;-;-;-;-;-;0
19701125;-;-;-;-;-;0
19701126;-;-;-;-;-;0
19701127;-;-;-;-;-;0
19701128;-;-;-;-;-;0
19701129;-;-;-;-;-;0
19701130;-;-;-;-;-;-
19701201;-;-;-;-;-;0
19701202;-;-;-;-;-;0
19701203;-;-;-;-;-;0
19701204;-;-;-;-;-;0
19701205;-;-;-;-;-;0
19701206;-;-;-;0;-;0
19701207;-;-;-;2;-;0
19701208;-;-;-;0;-;0
19701209;-;-;-;0;-;9
19701210;-;-;-;0;-;0
19701211;-;-;-;0;-;0
19701212;-;-;-;0;-;0
19701213;-;-;-;0;-;0
19701214;-;-;-;3;-;0
19701215;-;-;-;-;-;0
19701216;-;-;-;0;-;2
19701217;-;-;-;0;-;2
19701218;-;-;-;0;-;2
19701219;-;-;-;0;-;0
19701220;-;-;-;0;-;0
19701221;-;-;-;4;-;0
19701222;-;-;-;7;-;5
19701223;-;-;-;-;-;11
19701224;-;-;-;0;-;22
19701225;-;-;-;0;-;20
19701226;-;-;-;0;-;18
19701227;-;-;-;0;-;17
19701228;-;-;-;0;-;15
19701229;-;-;-;3;-;11
19701230;-;-;-;5;-;11
19701231;-;-;-;4;-;18
19710101;-;-;-;0;-;22
19710102;-;-;-;0;-;27
19710103;-;-;-;0;-;24
19710104;-;-;-;0;-;23
19710105;-;-;-;0;-;22
19710106;-;-;-;0;-;21
19710107;-;-;-;0;-;21
19710108;-;-;-;0;-;20
19710109;-;-;-;0;-;18
19710110;-;-;-;0;-;18
19710111;-;-;-;0;-;16
19710112;-;-;-;0;-;13
19710113;-;-;-;0;-;13
19710114;-;-;-;0;-;13
