stn;time;tre200dn
ARO;19511025;-1.0
ARO;19511026;-1.7
ARO;19511027;-2.1
ARO;19511028;-1.0
ARO;19511029;-1.6
ARO;19511030;-1.0
ARO;19511031;01. Mai
ARO;19511101;-4.4
ARO;19511102;-5.4
ARO;19511103;-6.4
ARO;19511104;-7.0
ARO;19511105;-7.5
ARO;19511106;02. Jan
ARO;19511107;05. Jan
ARO;19511108;02. Sep
ARO;19511109;0.0
ARO;19511110;0.1
ARO;19511111;0.5
ARO;19511112;-1.5
ARO;19511113;-2.8
ARO;19511114;-3.0
ARO;19511115;-5.2
ARO;19511116;-5.4
ARO;19511117;-1.6
ARO;19511118;0.2
ARO;19511119;0.4
ARO;19511120;0.0
ARO;19511121;0.4
ARO;19511122;-5.8
ARO;19511123;-6.6
ARO;19511124;-7.2
ARO;19511125;-1.0
ARO;19511126;-4.6
ARO;19511127;-9.6
ARO;19511128;-9.2
ARO;19511129;-10.6
ARO;19511130;-11.0
ARO;19511201;-4.3
ARO;19511202;-2.8
ARO;19511203;-7.9
ARO;19511204;-12.0
ARO;19511205;-11.5
ARO;19511206;-2.3
ARO;19511207;-5.1
ARO;19511208;-10.4
ARO;19511209;-10.0
ARO;19511210;-6.2
ARO;19511211;-13.1
ARO;19511212;-14.1
ARO;19511213;-11.6
ARO;19511214;-2.9
ARO;19511215;-2.4
ARO;19511216;-2.8
ARO;19511217;-2.8
ARO;19511218;0.8
ARO;19511219;-1.3
ARO;19511220;-1.1
ARO;19511221;-0.4
ARO;19511222;0.3
ARO;19511223;-1.0
ARO;19511224;1.0
ARO;19511225;-0.5
ARO;19511226;-4.9
ARO;19511227;-9.5
ARO;19511228;-10.3
ARO;19511229;-12.3
ARO;19511230;-9.5
ARO;19511231;-7.5
ARO;19520101;-9.2
ARO;19520102;-11.5
ARO;19520103;-7.9
ARO;19520104;-11.5
ARO;19520105;-13.0
ARO;19520106;-10.8
ARO;19520107;-11.1
ARO;19520108;-2.2
ARO;19520109;-4.8
ARO;19520110;-10.3
ARO;19520111;-9.2
ARO;19520112;-12.9
ARO;19520113;-14.0
ARO;19520114;-15.3
ARO;19520115;-8.5
ARO;19520116;-6.9
ARO;19520117;-5.6
ARO;19520118;-11.9
ARO;19520119;-12.3
ARO;19520120;-14.4
ARO;19520121;-18.2
ARO;19520122;-18.2
ARO;19520123;-10.6
ARO;19520124;-9.7
ARO;19520125;-8.3
ARO;19520126;-9.9
ARO;19520127;-12.3
ARO;19520128;-15.6
ARO;19520129;-15.6
ARO;19520130;-10.2
ARO;19520131;-7.6
ARO;19520201;-8.7
ARO;19520202;-13.8
ARO;19520203;-14.0
ARO;19520204;-11.7
ARO;19520205;-12.1
ARO;19520206;-15.6
ARO;19520207;-15.8
ARO;19520208;-10.8
ARO;19520209;-12.1
ARO;19520210;-13.1
ARO;19520211;-12.5
ARO;19520212;-6.0
ARO;19520213;-10.8
ARO;19520214;-15.2
ARO;19520215;-16.0
ARO;19520216;-15.6
ARO;19520217;-16.0
ARO;19520218;-15.3
ARO;19520219;-15.6
ARO;19520220;-15.1
ARO;19520221;-7.4
ARO;19520222;-5.5
ARO;19520223;-3.6
ARO;19520224;-5.3
ARO;19520225;-5.2
ARO;19520226;-6.0
ARO;19520227;-5.5
ARO;19520228;-5.1
ARO;19520229;-6.5
ARO;19520301;-7.0
ARO;19520302;-7.0
ARO;19520303;-3.6
ARO;19520304;-3.5
ARO;19520305;-2.8
ARO;19520306;-4.0
ARO;19520307;-5.0
ARO;19520308;-4.8
ARO;19520309;-6.5
ARO;19520310;-4.8
ARO;19520311;-4.4
ARO;19520312;-7.1
ARO;19520313;-6.2
ARO;19520314;-11.6
ARO;19520315;-13.1
ARO;19520316;-8.8
ARO;19520317;-4.0
ARO;19520318;-3.2
ARO;19520319;-3.9
ARO;19520320;-2.9
ARO;19520321;-4.1
ARO;19520322;-6.1
ARO;19520323;-3.0
ARO;19520324;-2.3
ARO;19520325;-1.9
ARO;19520326;-9.7
ARO;19520327;-13.8
ARO;19520328;-11.7
ARO;19520329;-2.7
ARO;19520330;0.3
ARO;19520331;-0.9
ARO;19520401;-0.2
ARO;19520402;-10.4
ARO;19520403;-12.2
ARO;19520404;-12.6
ARO;19520405;-10.7
ARO;19520406;-7.3
ARO;19520407;-6.0
ARO;19520408;-1.0
ARO;19520409;0.8
ARO;19520410;0.6
ARO;19520411;0.0
ARO;19520412;02. Apr
ARO;19520413;01. Mai
ARO;19520414;01. Feb
ARO;19520415;02. Mai
ARO;19520416;02. Jul
ARO;19520417;02. Feb
ARO;19520418;02. Jan
ARO;19520419;03. Apr
ARO;19520420;02. Mrz
ARO;19520421;01. Jan
ARO;19520422;3.0
ARO;19520423;01. Aug
ARO;19520424;-0.1
ARO;19520425;-0.4
ARO;19520426;-0.1
ARO;19520427;0.5
ARO;19520428;0.0
ARO;19520429;0.4
ARO;19520430;01. Sep
ARO;19520501;03. Jan
ARO;19520502;03. Jan
ARO;19520503;05. Mai
ARO;19520504;04. Mai
ARO;19520505;0.2
ARO;19520506;0.5
ARO;19520507;02. Mai
ARO;19520508;0.9
ARO;19520509;03. Mrz
ARO;19520510;04. Jan
ARO;19520511;03. Mai
ARO;19520512;0.0
ARO;19520513;-1.5
ARO;19520514;-0.2
ARO;19520515;-0.2
ARO;19520516;03. Feb
ARO;19520517;02. Jan
ARO;19520518;-0.1
ARO;19520519;0.8
ARO;19520520;0.0
ARO;19520521;-4.0
ARO;19520522;-2.0
ARO;19520523;-3.0
ARO;19520524;-1.0
ARO;19520525;-0.2
ARO;19520526;0.5
ARO;19520527;0.5
ARO;19520528;2.0
ARO;19520529;4.0
ARO;19520530;04. Mai
ARO;19520531;06. Apr
ARO;19520601;07. Jun
ARO;19520602;8.0
ARO;19520603;06. Jun
ARO;19520604;04. Feb
ARO;19520605;05. Mai
ARO;19520606;06. Aug
ARO;19520607;05. Jun
ARO;19520608;02. Mai
ARO;19520609;02. Jan
ARO;19520610;03. Jan
ARO;19520611;03. Apr
ARO;19520612;6.0
ARO;19520613;8.0
ARO;19520614;04. Mai
ARO;19520615;05. Jul
ARO;19520616;05. Jul
ARO;19520617;05. Aug
ARO;19520618;07. Aug
ARO;19520619;06. Apr
ARO;19520620;05. Mrz
ARO;19520621;01. Aug
ARO;19520622;03. Mai
ARO;19520623;06. Jun
ARO;19520624;04. Jun
ARO;19520625;04. Apr
ARO;19520626;06. Apr
ARO;19520627;05. Jan
ARO;19520628;7.0
ARO;19520629;08. Mai
ARO;19520630;08. Jul
ARO;19520701;11.0
ARO;19520702;14. Apr
ARO;19520703;15.0
ARO;19520704;12. Mai
ARO;19520705;14. Jun
ARO;19520706;12. Mai
ARO;19520707;12.0
ARO;19520708;08. Feb
ARO;19520709;8.0
ARO;19520710;08. Mrz
ARO;19520711;07. Jan
ARO;19520712;09. Mai
ARO;19520713;09. Jan
ARO;19520714;08. Apr
ARO;19520715;07. Apr
ARO;19520716;7.0
ARO;19520717;08. Apr
ARO;19520718;07. Mai
ARO;19520719;05. Sep
ARO;19520720;6.0
ARO;19520721;09. Apr
ARO;19520722;08. Mai
ARO;19520723;08. Jun
ARO;19520724;07. Feb
ARO;19520725;05. Jan
ARO;19520726;05. Feb
ARO;19520727;07. Mai
ARO;19520728;05. Apr
ARO;19520729;03. Mai
ARO;19520730;03. Jun
ARO;19520731;06. Jun
ARO;19520801;07. Mai
ARO;19520802;07. Mrz
ARO;19520803;07. Mrz
ARO;19520804;6.0
ARO;19520805;08. Apr
ARO;19520806;09. Jun
ARO;19520807;9.0
ARO;19520808;06. Jan
ARO;19520809;07. Aug
ARO;19520810;05. Jul
ARO;19520811;05. Sep
ARO;19520812;10. Jan
ARO;19520813;12.0
ARO;19520814;12. Sep
ARO;19520815;13. Apr
ARO;19520816;09. Feb
ARO;19520817;04. Jan
ARO;19520818;3.0
ARO;19520819;5.0
ARO;19520820;6.0
ARO;19520821;0.6
ARO;19520822;02. Jun
ARO;19520823;01. Mai
ARO;19520824;06. Mrz
ARO;19520825;04. Mai
ARO;19520826;04. Apr
ARO;19520827;07. Mai
ARO;19520828;08. Apr
ARO;19520829;09. Mrz
ARO;19520830;12. Apr
ARO;19520831;07. Aug
ARO;19520901;07. Jun
ARO;19520902;06. Sep
ARO;19520903;06. Apr
ARO;19520904;06. Jan
ARO;19520905;7.0
ARO;19520906;0.8
ARO;19520907;0.0
ARO;19520908;-0.8
ARO;19520909;-2.0
ARO;19520910;-1.3
ARO;19520911;-0.3
ARO;19520912;-0.2
ARO;19520913;-2.2
ARO;19520914;-1.2
ARO;19520915;03. Jun
ARO;19520916;02. Jul
ARO;19520917;03. Jul
ARO;19520918;02. Mai
ARO;19520919;-3.0
ARO;19520920;-5.3
ARO;19520921;-5.1
ARO;19520922;-3.3
ARO;19520923;-0.3
ARO;19520924;0.4
ARO;19520925;01. Aug
ARO;19520926;0.1
ARO;19520927;-0.3
ARO;19520928;-2.8
ARO;19520929;-1.7
ARO;19520930;-1.4
ARO;19521001;0.6
ARO;19521002;-3.6
ARO;19521003;-4.2
ARO;19521004;-3.4
ARO;19521005;-1.0
ARO;19521006;-1.7
ARO;19521007;-0.3
ARO;19521008;-2.5
ARO;19521009;-5.7
ARO;19521010;-3.4
ARO;19521011;-3.9
ARO;19521012;-6.5
ARO;19521013;-7.0
ARO;19521014;-3.1
ARO;19521015;-3.5
ARO;19521016;-4.0
ARO;19521017;-1.8
ARO;19521018;-1.6
ARO;19521019;-0.7
ARO;19521020;0.8
ARO;19521021;03. Feb
ARO;19521022;04. Feb
ARO;19521023;01. Jul
ARO;19521024;01. Jul
ARO;19521025;03. Mai
ARO;19521026;-1.2
ARO;19521027;-4.2
ARO;19521028;-3.7
ARO;19521029;02. Jun
ARO;19521030;-0.6
ARO;19521031;-5.7
ARO;19521101;-5.7
ARO;19521102;-6.0
ARO;19521103;-2.9
ARO;19521104;-7.0
ARO;19521105;-7.3
ARO;19521106;-2.6
ARO;19521107;-8.5
ARO;19521108;-9.0
ARO;19521109;-11.3
ARO;19521110;-10.5
ARO;19521111;-8.8
ARO;19521112;-8.5
ARO;19521113;-12.0
ARO;19521114;-12.4
ARO;19521115;-14.6
ARO;19521116;-14.6
ARO;19521117;-13.8
